@relation InstanceResultListener

@attribute Key_Dataset {vote,iris}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.BayesNet}
@attribute Key_Scheme_options {'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5'}
@attribute Key_Scheme_version_ID {746037443258775954}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data
vote,1,10,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,392,43,37,6,0,86.046512,13.953488,0,0.713969,0.128668,0.347721,27.025699,71.105867,41.643016,64.479152,-22.836136,0.968442,1.499515,-0.531073,30.112084,0.700281,3130.067287,0.846154,22,0.117647,2,0.882353,15,0.153846,4,0.916667,0.846154,0.88,0.952489,0.860465,0.131958,0.868042,0.139535,0.866381,0.860465,0.86155,0.952489,0.01,0.001,0.009432,0.000771,76829,69047,11462,?,0,0,0,0,-3416.865477,-3444.351884,-3454.060617,-3388.534797,-3355.534797
iris,1,1,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,14,1,0,93.333333,6.666667,0,0.9,0.041668,0.187373,9.375345,39.747759,23.774438,3.233376,20.541061,1.584963,0.215558,1.369404,21.703633,1.446909,1369.346791,1,5,0,0,1,10,0,0,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,1,0.01,0.001,0.009382,0.000374,17144,11019,2739,?,0,0,0,0,-377.538233,-423.67888,-437.327611,-399.559039,-373.559039
iris,1,2,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,15,0,0,100,0,0,1,0.001133,0.002006,0.254908,0.425454,23.774438,0.036844,23.737594,1.584963,0.002456,1.582506,23.737594,1.582506,1497.675418,1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.003,0.001,0.003627,0.000325,17144,11019,2739,?,0,0,0,0,-436.308734,-480.685891,-491.341186,-453.572614,-427.572614
iris,1,3,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,15,0,0,100,0,0,1,0.002119,0.003267,0.476748,0.692945,23.774438,0.068954,23.705483,1.584963,0.004597,1.580366,23.705483,1.580366,1495.649469,1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.003,0,0.002724,0.000242,17018,11019,2739,?,0,0,0,0,-324.282122,-354.849791,-367.104831,-338.052083,-318.052083
iris,1,4,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,15,0,0,100,0,0,1,0.002083,0.003994,0.468596,0.847203,23.774438,0.067865,23.706572,1.584963,0.004524,1.580438,23.706572,1.580438,1495.718188,1,5,0,0,1,10,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.003,0,0.002774,0.000223,17144,11019,2739,?,0,0,0,0,-420.240033,-466.38068,-477.308743,-439.540171,-413.540171
iris,1,5,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,14,1,0,93.333333,6.666667,0,0.9,0.063668,0.227881,14.32541,48.340789,23.774438,9.792492,13.981945,1.584963,0.652833,0.93213,20.805615,1.387041,1312.688124,1,5,0,0,1,10,0,0,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.986667,0.003,0,0.002669,0.00018,17081,11019,2739,?,0,0,0,0,-382.172394,-419.644807,-430.95106,-397.5404,-374.5404
iris,1,6,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,14,1,0,93.333333,6.666667,0,0.9,0.052917,0.173804,11.906346,36.869487,23.774438,2.64878,21.125657,1.584963,0.176585,1.408377,21.220765,1.414718,1338.881187,1,5,0,0,1,10,0,0,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,1,0.003,0,0.002691,0.000222,17144,11019,2739,?,0,0,0,0,-438.795957,-483.173114,-493.428625,-455.660053,-429.660053
iris,1,7,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,13,2,0,86.666667,13.333333,0,0.8,0.077186,0.259081,17.366758,54.959355,23.774438,16.312574,7.461863,1.584963,1.087505,0.497458,19.887537,1.325836,1254.763885,1,5,0,0,1,10,0,0,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.94,0.002,0,0.001451,0.00012,17020,11019,2739,?,0,0,0,0,-330.063209,-360.630878,-373.365246,-344.312498,-324.312498
iris,1,8,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,13,2,0,86.666667,13.333333,0,0.8,0.077208,0.242951,17.371706,51.537795,23.774438,12.450677,11.323761,1.584963,0.830045,0.754917,20.149605,1.343307,1271.298549,1,5,0,0,1,10,0,0,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.94,0.003,0,0.00173,0.000233,17144,11019,2739,?,0,0,0,0,-412.925567,-457.302725,-469.328885,-431.560313,-405.560313
iris,1,9,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,12,3,0,80,20,0,0.7,0.096199,0.260228,21.644694,55.202772,23.774438,5.45944,18.314998,1.584963,0.363963,1.221,18.705244,1.247016,1180.169484,1,5,0,0,1,10,0,0,1,1,1,1,0.8,0.1,0.9,0.2,0.805556,0.8,0.79798,0.973333,0.002,0,0.001416,0.000144,17079,11019,2739,?,0,0,0,0,-362.578622,-400.051036,-412.290756,-378.880096,-355.880096
iris,1,10,weka.classifiers.bayes.BayesNet,'-Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20150821.114,135,15,14,1,0,93.333333,6.666667,0,0.9,0.039646,0.151794,8.920462,32.200269,23.774438,2.049393,21.725044,1.584963,0.136626,1.448336,21.822179,1.454812,1376.826208,1,5,0,0,1,10,0,0,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,1,0.002,0,0.001472,0.000101,17081,11019,2739,?,0,0,0,0,-367.252422,-404.724835,-417.290786,-383.880126,-360.880126
